RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2024-08-31,num_restaurant,num_bank,num_fast_food,num_cafe,num_place_of_worship,num_school,num_bicycle_rental,has_features
74238,1943,37207,zip,TN,TN,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,2209.9459899749377,283,27,173,68,759,193,11,True
92340,1944,78244,zip,TX,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,1578.3238674780257,328,24,342,76,605,166,65,True
91673,1950,77024,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1730.2904214559387,817,118,684,183,930,76,41,True
74649,1954,38111,zip,TN,TN,Memphis,"Memphis, TN-MS-AR",Shelby County,1357.4112554112555,152,11,87,22,946,264,73,True
74408,1956,37660,zip,TN,TN,Kingsport,"Kingsport-Bristol, TN-VA",Sullivan County,1350.8333333333333,29,3,28,3,25,12,0,True
91739,1973,77090,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1106.8894795912338,817,118,684,183,930,76,41,True
58650,1976,02136,zip,MA,MA,Boston,"Boston-Cambridge-Newton, MA-NH",Suffolk County,2861.111111111111,736,105,299,249,74,142,162,True
93598,1978,80920,zip,CO,CO,Colorado Springs,"Colorado Springs, CO",El Paso County,2051.5400326797385,248,20,172,57,25,6,45,True
96026,1983,90045,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2987.425780568638,2034,191,1158,615,713,343,126,True
99511,1992,98026,zip,WA,WA,Lynnwood,"Seattle-Tacoma-Bellevue, WA",Snohomish County,2412.0466570466565,61,17,31,28,1,2,0,True
97588,1993,94134,zip,CA,CA,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,3493.6111111111118,1681,188,397,722,139,74,118,True
91698,2000,77049,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1543.3452380952378,817,118,684,183,930,76,41,True
92333,2021,78237,zip,TX,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,1235.3333333333337,328,24,342,76,605,166,65,True
94737,2027,85021,zip,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,1380.540350877193,515,43,353,145,144,126,49,True
78032,2034,46217,zip,IN,IN,Indianapolis,"Indianapolis-Carmel-Anderson, IN",Marion County,1770.7142857142856,329,28,204,73,235,130,7,True
99147,2069,97236,zip,OR,OR,Portland,"Portland-Vancouver-Hillsboro, OR-WA",Multnomah County,1733.827380952381,748,71,353,312,44,31,71,True
399659,2079,85298,zip,AZ,AZ,Gilbert,"Phoenix-Mesa-Chandler, AZ",Maricopa County,2638.340740740741,154,9,107,35,4,5,0,True
98482,2086,95928,zip,CA,CA,Chico,"Chico, CA",Butte County,1672.459415584416,22,2,18,8,18,2,0,True
72233,2092,32807,zip,FL,FL,Orlando,"Orlando-Kissimmee-Sanford, FL",Orange County,1846.2,185,21,186,58,62,27,1,True
67186,2093,22201,zip,VA,VA,Arlington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Arlington County,2670.002635808421,207,38,146,72,5,13,111,True
91712,2099,77063,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1296.5327327327325,817,118,684,183,930,76,41,True
94743,2101,85027,zip,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,1545.8661616161617,515,43,353,145,144,126,49,True
91715,2114,77066,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1604.5416666666667,817,118,684,183,930,76,41,True
82257,2121,55407,zip,MN,MN,Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI",Hennepin County,1473.35,400,26,75,137,32,17,3,True
91683,2127,77034,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1096.1634615384617,817,118,684,183,930,76,41,True
81301,2134,53221,zip,WI,WI,Milwaukee,"Milwaukee-Waukesha, WI",Milwaukee County,1163.0833333333333,269,40,149,89,31,52,37,True
94881,2142,85297,zip,AZ,AZ,Gilbert,"Phoenix-Mesa-Chandler, AZ",Maricopa County,2270.510489510489,154,9,107,35,4,5,0,True
91626,2148,76904,zip,TX,TX,San Angelo,"San Angelo, TX",Tom Green County,1416.3333333333333,14,0,9,0,63,35,0,True
74157,2166,37076,zip,TN,TN,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,1633.5863663663663,283,27,173,68,759,193,11,True
91722,2176,77073,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1850.8992673992675,817,118,684,183,930,76,41,True
75612,2176,40291,zip,KY,KY,Louisville,"Louisville/Jefferson County, KY-IN",Jefferson County,1828.184523809524,259,20,138,62,89,60,5,True
66682,2194,20877,zip,MD,MD,Gaithersburg,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Montgomery County,2071.208333333333,69,5,26,11,12,6,0,True
74592,2195,38018,zip,TN,TN,Memphis,"Memphis, TN-MS-AR",Shelby County,1729.15666935051,152,11,87,22,946,264,73,True
